motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
ZNF236_3.motif	13425	14801	Not-Overlapped	NA	NA	0.999999938971852	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_4.motif	1124	1273	Not-Overlapped	NA	NA	0.997787533310629	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_5.motif	250414	269321	Not-Overlapped	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_6.motif	43425	44479	Not-Overlapped	NA	NA	0.999998682124578	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_8.motif	4830	5049	Not-Overlapped	NA	NA	0.99998478355056	NA	NA	NA	NA	NA	NA	NA	NA
ZNF239_1.motif	1	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
ZNF24_1.motif	547	627	Not-Overlapped	NA	NA	0.649438815915696	NA	NA	NA	NA	NA	NA	NA	NA
ZNF248_1.motif	1	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF250_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF251_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF25_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF253_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF254_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF256_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
