motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
FOXD3_1.motif	119	106	Not-Overlapped	NA	NA	0.508155995494452	NA	NA	NA	NA	NA	NA	NA	NA
FOXD3_2.motif	35	31	Not-Overlapped	NA	NA	0.345413225695576	NA	NA	NA	NA	NA	NA	NA	NA
FOXD4_1.motif	116	147	Not-Overlapped	NA	NA	0.68792251875944	NA	NA	NA	NA	NA	NA	NA	NA
FOXD4L1_1.motif	732	653	Not-Overlapped	NA	NA	0.477488028821322	NA	NA	NA	NA	NA	NA	NA	NA
FOXF1_1.motif	215	190	Not-Overlapped	NA	NA	0.250501319496428	NA	NA	NA	NA	NA	NA	NA	NA
FOXF2_1.motif	17	29	Not-Overlapped	NA	NA	0.357082591428534	NA	NA	NA	NA	NA	NA	NA	NA
FOXG1_1.motif	116	147	Not-Overlapped	NA	NA	0.68792251875944	NA	NA	NA	NA	NA	NA	NA	NA
FOXG1_3.motif	1	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
FOXH1_1.motif	87	188	Not-Overlapped	NA	NA	0.982077627628464	NA	NA	NA	NA	NA	NA	NA	NA
FOXI1_1.motif	223	188	Not-Overlapped	NA	NA	0.229432563061126	NA	NA	NA	NA	NA	NA	NA	NA
FOXI1_3.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
FOXJ2_1.motif	1921	2190	Not-Overlapped	NA	NA	0.0770400394447183	NA	NA	NA	NA	NA	NA	NA	NA
FOXJ2_4.motif	0	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
FOXJ3_1.motif	2	2	Not-Overlapped	NA	NA	0.269633793527669	NA	NA	NA	NA	NA	NA	NA	NA
FOXJ3_2.motif	2	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
FOXK1_1.motif	302	345	Not-Overlapped	NA	NA	0.0824328277499794	NA	NA	NA	NA	NA	NA	NA	NA
FOXK1_2.motif	1	5	Not-Overlapped	NA	NA	0.278148544902227	NA	NA	NA	NA	NA	NA	NA	NA
FOXL1_1.motif	1223	1425	Not-Overlapped	NA	NA	0.0157498304302211	NA	NA	NA	NA	NA	NA	NA	NA
FOXL1_2.motif	70	89	Not-Overlapped	NA	NA	0.498568146522859	NA	NA	NA	NA	NA	NA	NA	NA
